id;name;location;location_range;referals
2066358d-96c0-490e-833e-3e55b8d4c440;Uzbekistan quantify;data-warehouse Roads Incredible;Mandatory;../fake-data/blob/hipster.txt
38e45781-25e4-48c4-80cd-8972d3f51f4a;Manager Dynamic;Omani;out-of-the-box connecting Nebraska;../fake-data/blob/hipster.txt
881a5884-d420-4e67-8311-3f6bb2274fe4;sensor Manager FTP;utilize;payment Concrete invoice;../fake-data/blob/hipster.txt
b5d39962-96c7-4e6b-b652-fb5a586289c2;Won expedite;Estate User-centric payment;compressing implement;../fake-data/blob/hipster.txt
e83359fc-1cf9-46c0-8a17-7f35870ec693;Principal extend;Money Manager;Mouse withdrawal hour;../fake-data/blob/hipster.txt
fe32d34e-0ae2-45d8-8a3c-12d76d793f4f;Hawaii Niger;red Licensed Agent;reinvent Music reboot;../fake-data/blob/hipster.txt
3593c74a-5435-4835-9c85-668c4d7fcbec;Idaho;dynamic;port;../fake-data/blob/hipster.txt
b1aad293-1773-47e8-ab62-fc7807ba045a;Leone Program Direct;Practical impactful;Jewelery indexing open-source;../fake-data/blob/hipster.txt
403b9eb1-7328-4d7e-a442-a9a01800b75b;Generic Car Shoes;Pants;capability Avon;../fake-data/blob/hipster.txt
e3cf066d-9708-464a-8eed-6edc03a5e996;input;repurpose application Drive;auxiliary;../fake-data/blob/hipster.txt
